uf;anomes;valor;regiao
Bahia;200811;37524744.74;Nordeste
Minas Gerais;200811;78329947.11;Sudeste
Espírito Santo;200811;11456719.61;Sudeste
Rio de Janeiro;200811;39907347.52;Sudeste
São Paulo;200811;167990352.53;Sudeste
Paraná;200811;53117936.61;Sul
Santa Catarina;200811;25115484.86;Sul
Rio Grande do Sul;200811;53699506.08;Sul
Mato Grosso do Sul;200811;9450010.19;Centro-Oeste
Mato Grosso;200811;7150345.5;Centro-Oeste
Goiás;200811;17094580.1;Centro-Oeste
Distrito Federal;200811;11343166.62;Centro-Oeste
Rondônia;200812;2931173.58;Norte
Acre;200812;2235639.98;Norte
Amazonas;200812;7777645.88;Norte
Roraima;200812;1244339.25;Norte
Pará;200812;23896804.99;Norte
Amapá;200812;1696614.53;Norte
Tocantins;200812;5523443.7;Norte
Maranhão;200812;15792303.93;Nordeste
Piauí;200812;10684587.12;Nordeste
Ceará;200812;33251315.89;Nordeste
Rio Grande do Norte;200812;10091048.76;Nordeste
Paraíba;200812;13581860.46;Nordeste
Pernambuco;200812;36978451.28;Nordeste
Alagoas;200812;9587276.26;Nordeste
Sergipe;200812;4112620.16;Nordeste
Bahia;200812;44878936.74;Nordeste
Minas Gerais;200812;86917741.55;Sudeste
Espírito Santo;200812;13797101.01;Sudeste
Rio de Janeiro;200812;50581613.99;Sudeste
São Paulo;200812;191857317.83;Sudeste
Paraná;200812;63910909.46;Sul
Santa Catarina;200812;30778152.01;Sul
Rio Grande do Sul;200812;58730379.58;Sul
Mato Grosso do Sul;200812;8365709.79;Centro-Oeste
Mato Grosso;200812;10421826.32;Centro-Oeste
Goiás;200812;21615561.61;Centro-Oeste
Distrito Federal;200812;14727561.06;Centro-Oeste
Rondônia;200901;2885269.07;Norte
Acre;200901;2497116.43;Norte
Amazonas;200901;7403068.36;Norte
Roraima;200901;1085679.25;Norte
Pará;200901;24613320.93;Norte
Amapá;200901;1665895.54;Norte
Tocantins;200901;5791656.63;Norte
Maranhão;200901;14782429.14;Nordeste
Piauí;200901;10448286.35;Nordeste
Ceará;200901;28809087.67;Nordeste
Rio Grande do Norte;200901;9571714.81;Nordeste
Paraíba;200901;13493164.47;Nordeste
Pernambuco;200901;31009217.35;Nordeste
Alagoas;200901;9118308.54;Nordeste
Sergipe;200901;4087554.91;Nordeste
Bahia;200901;39955776.96;Nordeste
Minas Gerais;200901;91374305.25;Sudeste
Espírito Santo;200901;11872595.72;Sudeste
Rio de Janeiro;200901;46203403.72;Sudeste
São Paulo;200901;182797194.35;Sudeste
Paraná;200901;64523066.04;Sul
Santa Catarina;200901;35330776.38;Sul
Rio Grande do Sul;200901;57629317.06;Sul
Mato Grosso do Sul;200901;10033643.71;Centro-Oeste
Mato Grosso;200901;9939399.66;Centro-Oeste
Goiás;200901;20678552.05;Centro-Oeste
Distrito Federal;200901;12448821.12;Centro-Oeste
Rondônia;200902;2860103.74;Norte
Acre;200902;2253558.01;Norte
Amazonas;200902;6683346.89;Norte
Roraima;200902;969528.54;Norte
Pará;200902;24015940.01;Norte
Amapá;200902;1719940.0;Norte
Tocantins;200902;5814388.89;Norte
Maranhão;200902;16842416.53;Nordeste
Piauí;200902;10617670.35;Nordeste
Ceará;200902;31631678.94;Nordeste
Rio Grande do Norte;200902;10699503.66;Nordeste
Paraíba;200902;13482978.09;Nordeste
Pernambuco;200902;32989186.42;Nordeste
Alagoas;200902;9492457.06;Nordeste
Sergipe;200902;4066137.68;Nordeste
Bahia;200902;43111707.75;Nordeste
Minas Gerais;200902;90153672.61;Sudeste
Espírito Santo;200902;13159401.04;Sudeste
Rio de Janeiro;200902;47094280.97;Sudeste
São Paulo;200902;186855294.82;Sudeste
Paraná;200902;60783727.39;Sul
Santa Catarina;200902;29003233.4;Sul
Rio Grande do Sul;200902;58779088.02;Sul
Mato Grosso do Sul;200902;10746263.1;Centro-Oeste
Mato Grosso;200902;9332546.32;Centro-Oeste
Goiás;200902;23043942.78;Centro-Oeste
Distrito Federal;200902;10378991.59;Centro-Oeste
Rondônia;200903;3684944.68;Norte
Acre;200903;2122673.92;Norte
Amazonas;200903;9927781.2;Norte
